1,2,3,4,5,6,7,8,9
John Jay,Thomas Todd,James Wilson,John Blair Jr.,Joseph P. Bradley,William Cushing,John Rutledge,Stephen Johnson Field,John McKinley
John Rutledge,Robert Trimble,Bushrod Washington,Samuel Chase,George Shiras Jr.,Joseph Story,Thomas Johnson,Joseph McKenna,John Archibald Campbell
Oliver Ellsworth,John McLean,Henry Baldwin,Gabriel Duvall,William R. Day,Levi Woodbury,William Paterson,Harlan F. Stone,David Davis
John Marshall,Noah Haynes Swayne,Robert Cooper Grier,Philip P. Barbour,Pierce Butler,Benjamin Robbins Curtis,Henry Brockholst Livingston,Robert H. Jackson,John Marshall Harlan
Roger B. Taney,Stanley Matthews,William Strong,Peter V. Daniel,Frank Murphy,Nathan Clifford,Smith Thompson,John Marshall Harlan II,Mahlon Pitney
Salmon P. Chase,David J. Brewer,William Burnham Woods,Samuel Freeman Miller,Tom C. Clark,Horace Gray,Samuel Nelson,William Rehnquist,Edward Terry Sanford
Morrison Waite,Charles Evans Hughes,Lucius Quintus Cincinnatus Lamar,Henry Billings Brown,Thurgood Marshall,Oliver Wendell Holmes Jr.,Ward Hunt,Antonin Scalia,Owen Roberts
Melville Fuller,John Hessin Clarke,Howell E. Jackson,William Henry Moody,Clarence Thomas,Benjamin N. Cardozo,Samuel Blatchford,Neil Gorsuch,"Harold H. Burton
"
Edward Douglass White,George Sutherland,Rufus W. Peckham,Joseph Rucker Lamar,,Felix Frankfurter,"Edward Douglass White
",,Potter Stewart
William Howard Taft,"Stanley Forman Reed
",Horace Harmon Lurton,Louis Brandeis,,Arthur Goldberg,Willis Van Devanter,,Sandra Day O'Connor
Charles Evans Hughes,Charles Evans Whittaker,James Clark McReynolds,William O. Douglas,,Abe Fortas,Hugo Black,,Samuel Alito
Harlan F. Stone,Byron White,"James F. Byrnes
",John Paul Stevens,,Harry Blackmun,Lewis F. Powell Jr.,,
Fred M. Vinson,Ruth Bader Ginsburg,Wiley Rutledge,Elena Kagan,,Stephen Breyer,Anthony Kennedy,,
Earl Warren,Amy Coney Barrett,Sherman Minton,,,Ketanji Brown Jackson,Brett Kavanaugh,,
Warren E. Burger,,William J. Brennan Jr.,,,,,,
William Rehnquist,,David Souter,,,,,,
John Roberts,,Sonia Sotomayor,,,,,,